timestamp,gx,gy,gz,ax,ay,az,vx_gt,vy_gt,vz_gt
6.960000,0.217885,-0.033774,-0.235761,0.549334,1.061213,-11.530337,0.157025,-0.029330,0.020670
6.980000,0.361230,-0.544908,-0.045187,-0.215891,1.248276,-10.613704,0.164763,-0.011665,-0.013796
7.000000,-0.598237,-0.254946,-0.405252,0.607891,-0.279477,-9.723691,0.158172,0.010384,-0.029905
7.020000,0.970405,1.234418,-0.066148,0.524644,0.118700,-7.783579,0.170155,0.001916,-0.028200
7.040000,-0.502042,-0.589181,0.068985,-0.474402,-0.301445,-10.713066,0.177399,0.003102,0.012298
7.060000,0.244958,-0.876383,0.108801,-1.132689,-0.673030,-10.133585,0.164336,-0.004213,-0.005800
7.080000,1.019722,-0.492142,-0.088272,0.033266,0.164847,-8.712801,0.141012,-0.020038,-0.012287
7.100000,-1.221673,1.111099,-0.141007,0.977550,-0.018782,-8.389293,0.143677,-0.017312,0.009646
7.120000,0.279914,-0.070612,-0.248366,-0.822508,0.467967,-11.926250,0.163362,-0.018805,0.038057
7.140000,0.249667,-0.290459,-0.250606,-0.323468,1.084530,-11.149193,0.143878,-0.013342,-0.004330
7.160000,-0.027818,-0.279349,-0.468397,-0.941914,-0.048230,-7.922206,0.134736,0.005158,-0.031158
7.180000,0.718652,0.814063,-0.134986,2.379244,0.421560,-8.334166,0.115336,0.000992,0.006571
7.200000,-0.637594,-0.315331,0.310549,-0.250022,-0.273651,-12.034689,0.162027,0.007028,0.036071
7.220000,-0.170988,-0.706746,0.268623,-0.637703,-0.726247,-10.285625,0.153689,0.000687,-0.008453
7.240000,0.647352,-0.482417,-0.033309,0.391759,0.662083,-9.606291,0.139641,-0.015952,-0.017981
7.260000,-1.417395,1.119940,-0.052729,0.118838,-0.121813,-8.162460,0.148642,-0.004452,-0.013918
7.280000,-0.086802,-0.092720,-0.275170,-1.093048,0.494323,-11.188228,0.150253,-0.009648,0.019012
7.300000,0.051689,-0.192139,-0.249991,-0.289391,0.176722,-9.893721,0.125936,-0.003920,-0.008612
7.320000,0.248465,-0.040038,-0.209275,0.377051,-0.786649,-8.841867,0.117689,-0.005165,-0.010360
7.340000,0.837146,0.614942,0.190555,2.388150,0.745633,-8.528416,0.124694,-0.026101,0.008933
7.360000,-0.609952,-0.330522,0.517206,-0.077662,-0.135041,-12.141376,0.170660,-0.014531,0.034528
7.380000,-0.054277,-0.821275,0.314224,-1.015420,-0.638607,-10.112004,0.164964,-0.018431,-0.012147
7.400000,0.808068,-0.512669,-0.008979,0.399447,0.955269,-9.421619,0.142983,-0.033854,-0.018212
7.420000,-1.141849,1.225397,-0.156058,-0.376065,0.104341,-8.232759,0.151960,-0.016433,-0.010454
7.440000,-0.020376,-0.204911,-0.247940,-1.022791,0.497660,-11.714847,0.142420,-0.017753,0.021051
7.460000,0.080558,-0.266220,-0.168637,0.083897,1.753571,-9.500202,0.119588,-0.011992,-0.017105
7.480000,-0.245527,-0.213061,-0.433510,0.635853,-0.231756,-10.019355,0.119249,0.018496,-0.010973
7.500000,0.895627,1.252477,0.114915,2.440427,0.111805,-7.808344,0.132041,0.008733,-0.015227
7.520000,-0.443430,-0.582242,0.101756,-0.354598,-0.374064,-11.404882,0.177996,0.007876,0.024761
7.540000,-0.002966,-0.766761,0.144364,-1.049317,-0.585184,-10.107290,0.166311,-0.001654,-0.007201
7.560000,0.833833,-0.450915,0.119392,0.098380,0.740757,-10.106349,0.143479,-0.016336,-0.013178
7.580000,-1.152571,1.305375,-0.105303,-0.136207,-0.248163,-8.116004,0.146242,-0.003228,-0.019114
7.600000,-0.075022,-0.366412,-0.209900,-1.168544,0.656165,-11.424126,0.140950,-0.011571,0.014720
