timestamp,gx,gy,gz,ax,ay,az,vx_gt,vy_gt,vz_gt
5.460000,-0.792819,0.652512,-0.110927,-2.814250,2.788177,-8.137766,0.068658,0.033313,-0.017559
5.480000,-0.494479,-1.150811,-0.064271,-0.731228,-1.534951,-10.244748,0.006632,0.081700,0.015663
5.500000,0.229747,-0.463897,0.632267,-1.170762,-2.365029,-11.337265,-0.015746,0.041572,0.006588
5.520000,1.141663,0.068619,0.776501,3.758601,2.201674,-9.709767,-0.043862,-0.015796,-0.024272
5.540000,0.507749,0.491047,0.730085,4.098814,-0.492973,-5.134970,0.027212,0.021096,-0.022440
5.560000,0.073714,-0.954366,-0.459343,-1.357254,-0.965096,-11.939356,0.104153,0.007320,0.070957
5.580000,-0.241695,0.024733,0.426951,-1.001595,1.849967,-12.566947,0.074195,-0.015830,0.028312
5.600000,-1.082005,0.691323,0.324624,2.294142,2.592337,-11.574837,0.052599,0.015435,-0.026917
5.620000,-1.266914,1.178850,0.068063,0.324891,0.066350,-6.618267,0.094952,0.059596,-0.062396
5.640000,-0.423189,-0.983715,-0.334945,-3.579979,-2.038087,-8.978883,0.093902,0.048748,0.000915
5.660000,1.166717,0.798395,0.254721,1.365561,0.449082,-12.042890,0.017811,-0.004134,0.017111
5.680000,0.892171,0.532781,-0.154102,2.954425,0.946146,-5.988291,0.039805,-0.005797,-0.027908
5.700000,0.055088,-0.434218,-0.249010,1.122424,0.340322,-9.115958,0.091030,0.005367,0.048215
5.720000,-0.468791,-0.119691,-0.346793,2.201442,-0.224718,-11.865542,0.105222,0.006135,0.061829
5.740000,-0.604376,0.000306,-0.715718,-0.499458,-0.207511,-16.223986,0.141735,-0.005111,0.020458
5.760000,-0.441447,1.468830,-0.124498,0.898222,0.886658,-3.123005,0.124044,-0.019103,-0.108220
5.780000,0.005069,-0.633862,0.133288,1.826870,2.765314,-10.976082,0.131405,-0.013392,0.024864
5.800000,-0.292778,-0.487477,0.448013,-2.916684,1.057257,-11.484726,0.158690,0.032459,0.001096
5.820000,-0.067700,0.543957,0.133005,-3.025527,-0.306088,-9.082657,0.094053,0.042263,-0.032828
5.840000,-0.124422,0.925684,-0.515024,-4.106464,-2.232017,-9.625349,0.026772,0.023359,-0.018815
5.860000,-1.403771,-0.272350,0.574687,5.075472,0.374851,-7.670197,-0.066090,-0.034062,-0.015833
5.880000,0.448734,-0.933047,-0.327594,1.667702,1.204175,-12.256354,0.021512,-0.038274,0.026119
5.900000,-0.391488,0.273244,-0.979380,3.584777,3.002305,-7.428477,0.044986,-0.024883,-0.023349
5.920000,0.613677,-0.588628,-1.039582,4.894289,4.381718,-10.932919,0.107054,0.022477,0.023634
5.940000,-0.628880,-0.966652,-0.601468,-2.570093,0.812967,-11.535217,0.195521,0.098565,0.000609
5.960000,-0.013349,0.091006,0.168159,-0.275150,0.154000,-19.620310,-0.207512,-0.048108,-0.007286
5.980000,-0.386536,0.179095,0.216806,-0.531991,-3.099861,-12.163472,-0.213015,-0.045028,-0.203492
6.000000,1.081670,-3.599776,-1.579473,1.671522,9.844675,11.997822,-0.224151,-0.107894,-0.250564
6.020000,-2.738821,-2.720778,-1.632614,3.316852,2.406379,-13.042553,-0.186320,0.088747,0.185543
6.040000,-3.381632,-4.034936,-1.135408,1.425832,-3.638291,-7.323492,-0.104626,0.134891,0.120280
6.060000,-0.220384,-4.166745,-1.811822,-4.483502,0.485766,-17.038660,-0.046481,0.048514,0.167282
6.080000,-0.028238,-3.994667,-1.791152,-6.650844,0.799629,-15.056525,-0.090139,0.044760,0.016761
6.100000,-0.514609,-3.231796,-1.729768,-7.294972,0.257408,-9.799721,-0.161357,0.048773,-0.098542
